RowNum,StartTime,EndTime,ViewsGained,FollowersGained,MaxViewers,AverageViewers,FollowersPerHour,ViewsPerHour,LengthMinutes,GamesPlayed
95,2017-04-27 21:00:00.000,2017-04-28 00:15:00.000,9302,24,6348,4796,1.71,664.43,210,SpyParty|Family Feud Decades|Pictionary: Ultimate Edition
96,2017-04-25 22:15:00.000,2017-04-25 23:45:00.000,3039,34,4827,3491,4.86,434.14,105,PLAYERUNKNOWN'S BATTLEGROUNDS
97,2017-04-24 22:15:00.000,2017-04-25 01:00:00.000,6649,47,6462,5559,3.92,554.08,180,Ultimate Chicken Horse|Who Wants To Be A Millionaire?|London 2012 - The Official Video Game of the Olympic Games
98,2017-04-23 20:15:00.000,2017-04-23 23:30:00.000,5455,26,2624,2112,1.86,389.64,210,The Witcher 3: Wild Hunt
99,2017-04-20 22:15:00.000,2017-04-21 01:15:00.000,6612,41,5968,4977,3.15,508.62,195,The Binding of Isaac: Afterbirth|PLAYERUNKNOWN'S BATTLEGROUNDS|Pictionary
100,2017-04-19 21:15:00.000,2017-04-20 00:15:00.000,9790,61,6733,5594,4.69,753.08,195,The Binding of Isaac: Afterbirth|Golf It!|The Jackbox Party Pack 3
101,2017-04-09 20:30:00.000,2017-04-09 23:00:00.000,3286,20,2460,2272,1.82,298.73,165,The Witcher 3: Wild Hunt
102,2017-04-06 22:15:00.000,2017-04-07 01:15:00.000,8348,79,5818,4586,6.08,642.15,195,The Binding of Isaac: Afterbirth|PLAYERUNKNOWN'S BATTLEGROUNDS|Pictionary
103,2017-04-05 21:15:00.000,2017-04-06 00:00:00.000,7966,55,6269,5444,4.58,663.83,180,The Binding of Isaac: Afterbirth|Golf With Your Friends|The Jackbox Party Pack 3
104,2017-04-03 22:15:00.000,2017-04-04 01:30:00.000,9407,87,6467,5749,6.21,671.93,210,HITMAN|PLAYERUNKNOWN'S BATTLEGROUNDS|The Jackbox Party Pack 3
105,2017-04-02 20:15:00.000,2017-04-02 23:15:00.000,4316,33,2453,2138,2.54,332.00,195,The Witcher 3: Wild Hunt
106,2017-03-30 22:15:00.000,2017-03-31 01:15:00.000,26709,86,6263,4591,6.62,2054.54,195,The Binding of Isaac: Afterbirth|PLAYERUNKNOWN'S BATTLEGROUNDS|Sonic &amp; All-Stars Racing Transformed
107,2017-03-29 21:15:00.000,2017-03-30 00:15:00.000,9369,31,5614,4850,2.38,720.69,195,Ultimate Chicken Horse|Move or Die|Redout
108,2017-03-27 22:15:00.000,2017-03-28 01:15:00.000,7014,81,6774,5768,6.23,539.54,195,The Binding of Isaac: Afterbirth|HITMAN|PLAYERUNKNOWN'S BATTLEGROUNDS
109,2017-03-26 20:15:00.000,2017-03-26 23:15:00.000,3741,36,2503,2203,2.77,287.77,195,The Witcher 3: Wild Hunt
110,2017-03-23 22:00:00.000,2017-03-24 01:15:00.000,5132,38,5754,4496,2.71,366.57,210,The Binding of Isaac: Afterbirth|Golf With Your Friends|Duck Game
111,2017-03-22 21:15:00.000,2017-03-23 00:15:00.000,8567,44,5729,4633,3.38,659.00,195,The Binding of Isaac: Afterbirth|We Need to Go Deeper|Pictionary
112,2017-03-20 22:15:00.000,2017-03-21 01:15:00.000,7042,26,6370,5466,2.00,541.69,195,The Binding of Isaac: Afterbirth|Streets of Rogue|The Jackbox Party Pack 3
113,2017-03-19 20:30:00.000,2017-03-19 23:30:00.000,4184,6,2559,2221,0.46,321.85,195,The Witcher 3: Wild Hunt
114,2017-03-16 22:15:00.000,2017-03-17 01:00:00.000,6184,26,5065,4741,2.17,515.33,180,Golf It!|The Binding of Isaac: Afterbirth|Disc Jam
115,2017-03-15 21:15:00.000,2017-03-16 00:15:00.000,6494,30,6568,5655,2.31,499.54,195,The Binding of Isaac: Afterbirth|Golf It!
116,2017-03-08 22:15:00.000,2017-03-09 01:15:00.000,8840,67,6089,5407,5.15,680.00,195,The Binding of Isaac: Afterbirth|Gang Beasts
117,2017-03-06 23:15:00.000,2017-03-07 02:15:00.000,6587,29,6653,6058,2.23,506.69,195,The Binding of Isaac: Afterbirth|Sonic &amp; All-Stars Racing Transformed|The Jackbox Party Pack 3
